Source,Date,Location Name,Name,Star Rating,Comment,Images
Rehabs,3/22/2018,Florida,Mark W.,5,"Journey Pure has been wonderful in responding to my treatment needs. They are not only a multifaceted program, focusing on physical, emotional, mental, and spiritual health, but a community of like-minded people who share a passion for recovery. From intake to treatment to discharge and setting up aftercare, the staff and executives with the corporate office have been engaged every step of the way. Please, if you or a loved one is still sick and suffering, call Journey Pure.",
Rehabs,3/21/2018,Florida,Carol M. ,5,"The director of this program is wonderful. He really is a good person, and the staff here is great. This program saved my life!",
Rehabs,3/19/2018,Florida,Anthony J.,5,"My treatment and recovery process was great here. The staff has great energy at all times. The rules are pretty strict, and they are there for a reason. I definitely recommend this treatment center to anyone battling with addiction in any form or fashion. They are GREAT.",
Rehabs,3/1/2018,Florida,Mike W.,5,"If it wasn't for Journey Pure Emerald Coast, I wouldn't be where I am today. This place is wonderful. The only effective rehab treatment I have ever been too. I am so so so so happy to be writing this review. ALL (AND I MEAN ALL) THE STAFF REALLY HONESTLY TRULY CARE. I love this place. I love all the people this placed helped with my ongoing addiction for 4 years. I LOVE JOURNEY PURE.",
Rehabs,2/23/2018,Florida,William S.,5,"Highly recommend this facility. I went from broken to extremely hopeful for the future. The staff care for the clients in a way I've never witnessed before. If you need help, this is the place to go!",
Rehabs,2/22/2018,Florida,Frank V.,5,The staff is amazing from start to finish.,
Rehabs,2/16/2018,Florida,Amy A.,5,This place has given me the strength and courage to successfully beat the monster I was dealing with (aka addiction).,
Rehabs,2/14/2018,Florida,Scott K.,5,I have learned more about myself in 30 days than I have in my entire adult life5.,
Rehabs,2/3/2018,Florida,Kim D.,5,I recommend this rehab facilty. Two thumbs up. It was great!,
Rehabs,2/3/2018,Florida,Tim M.,4,"I had the pleasure of staying at Journey Pure for 30 days. During my stay, I was able to gain the mental clarity and focus to break the final bonds of my addiction. Journey Pure incorporates the best facets of the 12-steps with evidence-based techniques from the human growth movement, cognitive behavior and others. They were open and willing to explore new ideas which was particularly refreshing. Being able to pick from the very best of these is what sets them apart. Structured enough to keep you motivated and lax enough to experience epiphanies. I would recommend it to anyone ready to take action steps on their path to sobriety.",
Rehabs,1/15/2018,Florida,Jeff C.,5,I've been to other rehabs before and Journey Pure is by far the best. It is an amazing facility with the latest recovery tools.,
Rehabs,1/8/2018,Florida,Julie J.,5,This place is amazing. I have nothing but great things to say. They took me in off the streets and treated me with love and compassion that every human deserves. The staff really cares about the wellbeing of the patients. I have been to other places where that wasn't the case. JourneyPure is growing every day and it makes me happy to see that more people are getting the treatment they need.,
Rehabs,1/8/2018,Florida,Matthew B.,4,"Treatment effectiveness was top-notch. The staff has a true passion for helping a fellow addict. Without them, I wouldn't have stayed. Big thanks to the staff for sure. Meditation, process groups, all great. One thing I would change is the transition from detox to residential to the beach houses. They change your therapist, and I believe you should have just one for a 30-day period. Other than that, superb. Accommodations...Beach view houses of the gulf. Vans could use some attention to detail. The center is great. Clean, organized and cozy. Meals & nutrition...They have a great Chef for sure so when you are at detox or residential, you don't have to cook. Meals are great and JP will accommodate to your diet, big plus. Once at the beach houses, you make a list every week and eat like kings. You also cook for yourself and others in the beach houses. Overall...I will have to say this place is great. If you are serious about recovery and want a big change take a chance here. It is a great place. ",
Rehabs,12/20/2017,Florida,David B.,5,JourneyPure was very effective in identifying my inner problems and helping me with triggers and relapse preventions for when I got out of rehab. They therapist sessions were incredible.,
Rehabs,12/12/2017,Florida,Katy H.,5,My experience at Journeypure Emerald Coast was amazing. The curriculum was impressive and seemed to be tailored to my needs as a recovering addict. The program helped me to improve my relationship with God and understand the disease concept which in turn improved my overall health mentally as well as physically. The staff was amazing. They were extremely educated in the recovery process and seemed to truly care about clients. This program saved my life and for that I am truly grateful.,
Rehabs,12/11/2017,Florida,Marilyn W.,5,The staff at Journey Pure is the most caring and aware staff I have ever worked with. The structures they put in place and the fellowship that they foster saved my life. I highly recommend Journey Pure for anyone seeking addiction treatment and recovery.,
Rehabs,11/15/2017,Florida,Roy R.,4,Journey Pure was helpful in my recovery and really tries to help you. Detox was great and the staff is mostly people in recovery who sympathize with your situation.,
Rehabs,11/9/2017,Florida,Jow M. ,5,"JourneyPure in Panama City Beach was an amazing experience overall. It is life-changing if you work the program and utilize the tools they teach you and put them to work. It's not a perfect facility, but the staff genuinely cares and are all there to help the patients. The culture of the program is a strong point and a huge part of the reason that I was successful in my treatment. Overall, I would highly recommend JourneyPure and I feel it is the best decision I have ever made.",
Rehabs,11/7/2017,Florida,Sophia L.,5,I would like to thank the staff at JourneyPure for giving me a positive atmosphere to grow and recuperate.,
Rehabs,10/30/2017,Florida,Natalie W.,5,Journey Pure is an excellent program with staff that cares about their patients and work with them on a daily basis. I could not recommend this place more to an addict who truly wants to work a program and wants to get sober. Excellent program.,
Rehabs,10/30/2017,Florida,Janice R.,5,This place has taught me so much about relapse prevention. The brotherhood between the guys that are in treatment is simply amazing. Everyone really wants to work a program. My therapist is an amazing person that has helped identify a lot of problems I didn't see before...Thank you JP for everything. Looking forward to staying in contact in the recovery app.,
Rehabs,10/26/2017,Florida,Logan A.,5,"This is by far the best and last rehab I have been to. The staff is really helpful in all aspects of recovery. Also, the brotherhood they allow us to form with fellow peers is strong and gives great hope for what is to come. Thank you for everything, Journey Pure.",
Rehabs,10/26/2017,Florida,Hannah O.,5,"Thank you Journey Pure! This was my first (and only time) in treatment. My expectations were low when I got here, but I left feeling better than ever! I miss this place and all of the friends I have made. Who comes to rehab and has the time of their life? Journey Pure was a really great experience, and I absolutely loved the group therapy and the staff is awesome!",
Rehabs,10/18/2017,Florida,Jesse V.,5,"Great therapists, groups and techs made for an amazing experience. Housing is located on the beach which provided a relaxing time.",
Rehabs,10/5/2017,Florida,Dylan L.,5,"Journey Pure quite literally changed my life. You get out of this program what you put into it. There is no cure for this disease, but there is a remedy. You have a choice in life. Your decisions and how you respond to stressors and emotions. I've learned various coping skills through the Journey Pure program, and I can honestly say that the path I was on would have taken my life. Journey Pure taught me skills that saved my life. I highly recommend this program to anyone that's willing to actually put forth effort and strive for a positive change in your life.",
Rehabs,10/3/2017,Florida,Heather K.,5,I am grateful for this opportunity at Journey Pure. I have gained a lot here. Thanks to all the staff for their love and support.,
Rehabs,10/2/2017,Florida,Walter N.,5,"It's an amazing facility with great staff. If you're serious about recovery, this is the best possible place you could send your self or loved one!",
Rehabs,9/27/2017,Florida,Kelly G.,4,"Friendly, supportive staff and techs on-hand. You get what you put into it and for me that was a lot. The staff will readily assist any needs pertinent to recovery needs and concerns. I'm very grateful to have been accommodated in the program in every area I reached out on and underlying needs I knew very little of. They helped me come out of myself and that is not a repayable gift. Thank you jp.",
Rehabs,9/25/2017,Florida,Jose Z.,4,The best of the best. My stay here was pleasant and fun.,
Rehabs,8/22/2017,Florida,Joan H.,5,"Journey Pure was a very solid experience. 2nd treatment I've been to, and it was much more organized than my previous experience. I would recommend anyone seeking help to contact Journey Pure.",
Rehabs,8/21/2017,Florida,Maria P.,5,JourneyPure in Panama City Beach taught me how to live and gave me the tools I need for recovery.,
Rehabs,8/16/2017,Florida,Carl H. ,4,"Phenomenal staff - helpful, full of hope and inspiration.",
Rehabs,8/4/2017,Florida,Carolyn M.,5,"Love this place. It changed my life, and I miss it and the staff every day.",
Rehabs,8/2/2017,Florida,Wayne P.,4,Journey Pure is an awesome treatment facility for those who have lost their way in life through drugs and alcohol. I would recommend this facility to anyone who might have a problem with drugs and alcohol. My experience at Journey Pure has been life-changing.,
Rehabs,7/12/2017,Florida,Henry K.,5,"JourneyPure in Panama City Beach, FL changed my life! It wasn't just a rehab. It was a family bound together with one goal - to stay sober. The staff are family and you won't find anyone who cares about you like they do. They treat you like the human beings you are and not like you are just another addict. One particular therapist is a beautiful soul and my favorite. A few key staff will lead you to the best sober living homes you can find. They are also my absolute favorites! The house managers are wonderful, the funniest and most sarcastic women you'll meet, but they treat you as if you are their own. They changed my life and everyone was phenomenal! I met friends who will last a lifetime😉 Just be willing and they will lead you towards the right path. It's your choice to continue on that path! Plus, the houses are beautiful with a pool! What more could you ask for?!",
Rehabs,3/28/2017,Florida,Caleb U.,5,"I spent a total of 80 days inpatient there, so I can speak from a great amount of experience of the facility and staff. First, the detox section is amazing! I have never been so well taken care of treated so kindly! The detox staff are amazing people who care! The intake team is available and will get you situated fast! Secondly, they offer 2 inpatient treatment options, traditional and Christian. The Christian tract is led by 2 phenomenal therapists. It changed my life. The traditional track is equally great and is led by a team of awesome counselors! Also, the residential houses are like something out of a movie. They are 3 story houses literally across the street from the most beautiful beaches. They provide you with all you could need, and the houses are staffed 24hrs a day!  Finally, the leadership at Journey Pure are awesome people! They were always available and caring. If I needed to talk, I felt comfortable enough to go to their offices! Also, after you leave they don't just forget about you. The aftercare coach will periodically harass you via every type of messaging service. Lol. They care! If I had any complaint is that the days are long. The day starts early and ends late but w didn't mind that when we were out using, so it's worth the investment! I highly suggest this place to anyone at any age at any stage of addiction. The psychiatrist on staff will get you situated quickly without habit-forming medications! Call them, its the first step to a new life. Feel free to message me with any questions. My motivation is to help the still-suffering addict!",
Rehabs,9/20/2015,Florida,Helen H.,5,"The staff at Journey Pure is very kind and understanding. They are there for me, every step of the way. Without them, my life would be very different...The Florida location is a definite plus as well!",
google,9/19/2019,Florida,Jerry Harris,5,"15 months ago, the only option I had was death...plain and simple. I didn't love myself enough to even want to live anymore. It wasn't until I completely surrendered that I heard a voice that told me ""not yet."" That night, I was led to JourneyPure in Panama City Beach. I took a leap of faith to travel 2,000 miles to a city I had never been and to put my recovery in the hands of people that were complete strangers to me. But, because of the love and support of the staff at this facility, I have a foundation to begin a new life of sobriety. I began to TRULY live my life. More importantly, I began to love MYSELF again. I can not fully articulate how much these people mean to me. If you're looking for a facility to give you the tools to live on life's terms, to give you the most rudimentary building blocks to have a shot in the world, to help be that CALM in the middle of your chaos-filled life, then THIS is a good starting place. Thank you JourneyPure Emerald Coast.  Jerry H. - Alcoholic",
google,8/2/2019,Florida,Richard Ware,5,"How can I describe getting my life back? JouneyPure's staff is the reason I am writing this. I'm not sure where I'd be if not for them. The counselors and staff are the finest. All of my concerns - medical and psychological - were taken care of day or night. My well being and treatment was at the top of every staff member's goal list. The follow up is truly genuine. My Coach tracks my progress through an app on my phone on a daily basis. I feel like there's still someone I can turn to if I need help - that security is very important to me and my sobriety. Thanks, Journey Pure.	 ",
google,6/30/2019,Florida,Adam Hammons,5,Great experience. I wouldn't be alive today if it were not for God leading me to Journey Pure. Professional staff and facilities.,fl-richard-ware.png
google,5/16/2019,Florida,Kim Barnett,5,"I had the time of my life at JourneyPure! The moment I walked in the front doors until the day that I left, I was treated with so much love & respect! The staff was nothing short of amazing & I actually didn't want to go home! JourneyPure gave me my life back & I will forever be grateful for my experience. ",
google,5/1/2019,Florida,Louis Petit,5,"Journey Pure gave me my life back. I received top-notch therapy, classes and workouts in a beautiful facility on the beach. The food was amazing, but the staff was the best part! Each staff member made a lasting impression on me and aided in my recovery. I am forever grateful for this program!  Thank you from the bottom of my heart!	 ",
google,4/5/2019,Florida,David Nicholas,5,"I would give this place 10 stars if I could. I have seen many successes come out of Journey Pure. Miracles happen every day! Relationships restored. Journey Pure seriously saved my life!!! My experience there cannot be explained as to how wonderful it was!!! I actually miss it!!! Lol. But, I'm happier to be successfully on my journey in this forever choice to be happy and sober in the real world!!! The staff and counselors are great!!! The team of workers certainly have this treatment center down to a T!!!	 ",fl-david-nicholas.png
google,11/28/2018,Florida,Deborah Bauer,5,They changed my life!,
google,9/26/2018,Florida,Luis Figueroa,5, Journey Pure is truly a place for healing. They have an incredible staff that truly cares about their patient's wellbeing. I highly recommend Journey Pure to anyone who desires healing., 
google,3/6/2018,Florida,Chan Chan,5,I've been through 6 treatment centers prior to this one. JourneuPure is by far the best one yet. Chuck is the most hands-on director I've seen. The staff goes above and beyond to help out in any way they can., 
google,3/5/2018,Florida,James L,5,"Great, caring staff. Really helped me end up in a solid aftercare program. Would definitely recommend JP Emerald Coast to a friend.",
google,11/26/2017,Florida,Steven Ayala,5,"Pretty decent place. Great staff. Many helpful people. Josh W. is a great guy, very helpful. Need nurse cart at residences to cut down on downtime waiting around at the center. Other than that, great place. I would highly recommend it.	 ",
google,11/19/2017,Florida,Jonathan Oliver,5,"Words cannot describe how much Journey Pure means to me. I had reached a point where I had given up and just went to treatment to get away from life for thirty days. They were patient with me and eventually when I was ready they helped place me exactly where I belonged. I will forever be grateful to Journey Pure in Murfreesboro. If you're looking for a place to start over, give it a shot. You will meet some of the greatest people on this planet and have a new shot at living.	 ",fl-jonathan-oliver.png
google,11/11/2017,Florida,Dallas McCulley,5,"Super awesome!!! Life changer for sure. Still clean today. So many opportunities have opened up since being there. All the locations are really nice. The techs and staff definitely make sure you get what you need in order to put one foot forward and start a new life	 ",
google,11/11/2017,Florida,Louie Magoo,5,"I been to quite a few treatment centers. Journey pure is by far the best I have been to. I am still clean today. I love the way they allow you to fellowship within the community. It gives hope there is a better way to live. All the staff are great and really help you in what to do with recovery. Thank you journey pure.	 ",
google,9/3/2017,Florida,Andrue McHughes,5,JourneyPure was a life-changing experience for me. The gratitude I have from every client & staff member there has impacted my life wholeheartedly. I was in a life or death situation & slowly but surely have learned how to love myself & established self-worth thru receiving love & patience. Anyone can overcome & make the change. Give yourself the chance & time to be guided in the experience of others to the road of recovery.,
google,9/2/2017,Florida,Tony Lawrence,5,"Journey Pure has been the turning point of my life. When I had no idea what to do with or how to even want to go on with life. The staff of Journey Pure went above and beyond to help me figure out how to start putting together a program on how to live my life. They take the time to evaluate and counsel to try and give each person just what they need to succeed. After the inpatient treatment is done, they offer assistance on options afterward such as sober living and IOP whatever your situation calls for. They also have aftercare for their alumni to keep us plugged in. If you or a loved one need help I strongly recommend this treatment facility. They have helped to save mine and many others lives.",fl-tony-lawrence.png
google,9/2/2017,Florida,Neel Rivers,5,"JourneyPure is amazing. The staff truly cares about the patients and the location is very conducive to recovery. The one-and-one counseling and group sessions are extremely productive.	 ",fl-monica-campbell.png
google,8/21/2017,Florida,Monica Campbell,5,"Thanks for being committed to recovery. I enjoyed art therapy most.	 ",
google,3/28/2017,Florida,Jeremy King,5,"Wonderful treatment center. Great staff runs a fantastic program. Journey pure saved my life. The staff is committed to the clients there and work every day to change lives.	 ",fl-jermy-King.png
google,3/28/2017,Florida,Eleanor Cofer,5,"Excellent program. Caring staff. Nice facilities. You will get what you need to recover and get tools to live without substances. There's even time to have some clean and sober fun!	 ",fl-elanor-cofer.png
google,3/28/2017,Florida,Colton Seeburger,5,"Saved my life...Awesome groups and therapy. Staff is great, and it's in an awesome location.",fl-colton-seeburger.png
google,9/2/2017,Florida,Brandon Hardy,4,"If it weren't for JP, I would be dead.  The staff truly cares about client's recovery. Therapy in this program is so helpful and eye-opening. I recommend this recovery program to anyone who wants to start a new sober happy life. If you truly want sobriety, JP staff will make sure you have all the tools you need to achieve a happy, healthy, fulfilling life.s",fl-brandon-hardy.png
google,9/2/2017,Florida,Brittany Robinson,4,"I came to Journey Pure broken and hopeless. Once I got there, I was welcomed with open arms. I received therapy unlike any other rehab I have ever been to. The therapists and aftercare workers are amazing and truly went to bat for me. Like any other place, there are kinks that can be worked out, but overall I had an amazing experience and learned the tools I need to live an amazing life. I'm still clean and I owe a huge part of that to them.	 ",
